"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
183 -4.918156e-05
184 -4.918156e-05
185 -4.918156e-05
186 -4.918156e-05
187 -4.918156e-05
188 -4.918156e-05
189 -4.918156e-05
190 -4.918158e-05
191 -4.918158e-05
192 -4.91816e-05
193 -4.91816e-05
194 -4.91816e-05
195 -4.91816e-05
196 -4.918159e-05
197 -4.918159e-05
198 -4.918159e-05
199 -4.918159e-05
200 -4.918159e-05
201 -4.918158e-05
202 -4.918158e-05
203 -4.918157e-05
204 -4.918156e-05
205 -4.918156e-05
206 -4.918156e-05
207 -4.918156e-05
208 -4.918157e-05
209 -4.918157e-05
210 -4.918157e-05
211 -4.918158e-05
212 -4.918158e-05
213 -4.918158e-05
214 -4.918158e-05
215 -4.918158e-05
216 -4.918158e-05
217 -4.918158e-05
218 -4.918159e-05
219 -4.918159e-05
220 -4.918159e-05
221 -4.91816e-05
222 -4.91816e-05
223 -4.91816e-05
224 -4.91816e-05
225 -4.91816e-05
226 -4.91816e-05
227 -4.91816e-05
228 -4.91816e-05
229 -4.91816e-05
230 -4.91816e-05
231 -4.91816e-05
232 -4.91816e-05
233 -4.91816e-05
234 -4.91816e-05
235 -4.91816e-05
236 -4.91816e-05
237 -4.91816e-05
238 -4.91816e-05
239 -4.91816e-05
240 -4.91816e-05
241 -4.91816e-05
242 -4.91816e-05
243 -4.91816e-05
244 -4.91816e-05
245 -4.91816e-05
246 -4.91816e-05
247 -4.91816e-05
248 -4.91816e-05
249 -4.91816e-05
250 -4.91816e-05
251 -4.91816e-05
252 -4.91816e-05
253 -4.91816e-05
254 -4.91816e-05
255 -4.91816e-05
256 -4.91816e-05
257 -4.91816e-05
258 -4.91816e-05
259 -4.91816e-05
260 -4.91816e-05
261 -4.91816e-05
262 -4.91816e-05
263 -4.91816e-05
264 -4.91816e-05
265 -4.91816e-05
266 -4.91816e-05
267 -4.91816e-05
268 -4.918161e-05
269 -4.91816e-05
270 -4.91816e-05
271 -4.91816e-05
272 -4.91816e-05
273 -4.918161e-05
274 -4.91816e-05
275 -4.91816e-05
276 -4.91816e-05
277 -4.91816e-05
278 -4.91816e-05
279 -4.91816e-05
280 -4.91816e-05
281 -4.91816e-05
282 -4.91816e-05
283 -4.91816e-05
